"","MeanRR","sdRR","Rmssd","maxRR","minRR","Skewness","Kurtosis","AC","DC","LF","HF","LFnu","HFnu","LF_HF","SD1","SD2","SampEn","ApEn","Alpha1","Alpha2","MD_VG","C_VG","Tr_VG","r_VG","MD_HVG","C_HVG","Tr_HVG","r_HVG","nbHighqual","GA"
"mean",397.387204211292,23.6195370446705,6.3283300928139,531.977778561239,337.892268932703,0.715693629406511,7.70432924376924,0.856697664699767,1.1707968985379,129509.305731614,18669.9363089223,0.520489522781679,0.0435541591100469,17.4351219222393,4.47480562326662,32.9213576386018,0.511515148755166,0.664118177625518,1.37810096518347,0.89853260520021,9.79568100337048,0.431687025111266,0.708336152351879,0.0465440161951355,2.93359577646877,0.257497358665875,0.324814281304114,0.0875442765489209,48.11470563342,29.5761142857143
"sd",37.350180421124,10.7630739351835,7.15162260253942,71.8994159756653,30.7940112575451,1.10250253939752,9.14418791076126,0.753204561519067,0.921519920763154,181462.399278216,93472.7399114521,0.167189484426265,0.0569935786518484,10.8689514469637,5.05696133590981,14.6350558268997,0.199506615776314,0.230150672221751,0.117409007136865,0.10172401566865,1.54937355989332,0.0427340836769256,0.0103996096045082,0.0618858775297956,0.245451600271891,0.0346072036001901,0.0653549208390337,0.0281854464840382,10.0006905935217,3.35627970113083
